ds,yhat,yhat_lower,yhat_upper
2025-11-27,294.12416330226296,277.1939230200839,311.03927070986686
2025-11-28,338.91710617089325,321.3950944179118,354.5176713686649
2025-11-29,291.89307918758243,275.01255623100434,307.2010289580212
2025-11-30,345.30404812252993,328.9960689669443,360.98029699822916
2025-12-01,286.1163180111697,270.0498118674209,302.18852462462235
2025-12-02,297.9974114147341,282.10824720311274,314.57266768566353
2025-12-03,285.9067408349066,270.14710835332784,302.68264797322337
2025-12-04,294.3356729855836,277.57764586159766,310.1461524769418
2025-12-05,339.12861585407836,323.3335503931933,355.65298868679173
2025-12-06,292.1045888707852,275.2813370539182,307.3139667538621
